,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
368,300.0,179.0,191.0, GVWY,8654.0,10.0,865.4, PRDE,1797.0,10.1,179.7, SHVR,12313.0,10.2,1231.3, SNPR,1013.0,10.3,101.3, ZIC,2622.0,10.4,262.2, ZIP,4086.0,10.5,408.6,0,128,1.3
598,300.0,179.0,180.0, GVWY,4493.0,10.0,449.3, PRDE,6470.0,10.1,647.0, SHVR,8042.0,10.2,804.2, SNPR,1382.0,10.3,138.2, ZIC,4488.0,10.4,448.8, ZIP,5490.0,10.5,549.0,0,128,1.5
498,300.0,174.0,181.0, GVWY,7958.0,10.0,795.8, PRDE,5546.0,10.1,554.6, SHVR,7895.0,10.2,789.5, SNPR,554.0,10.3,55.4, ZIC,2493.0,10.4,249.3, ZIP,7039.0,10.5,703.9,0,128,1.7
12,300.0,178.0,185.0, GVWY,6965.0,10.0,696.5, PRDE,3341.0,10.1,334.1, SHVR,5043.0,10.2,504.3, SNPR,2334.0,10.3,233.4, ZIC,4328.0,10.4,432.8, ZIP,2704.0,10.5,270.4,0,128,2.0
7,300.0,183.0,209.0, GVWY,7786.0,10.0,778.6, PRDE,5927.0,10.1,592.7, SHVR,4147.0,10.2,414.7, SNPR,1610.0,10.3,161.0, ZIC,2559.0,10.4,255.9, ZIP,5938.0,10.5,593.8,0,256,0.0
675,300.0,178.0,185.0, GVWY,5650.0,10.0,565.0, PRDE,2588.0,10.1,258.8, SHVR,13793.0,10.2,1379.3, SNPR,510.0,10.3,51.0, ZIC,2275.0,10.4,227.5, ZIP,6804.0,10.5,680.4,0,256,0.2
41,300.0,169.0,179.0, GVWY,6680.0,10.0,668.0, PRDE,7082.0,10.1,708.2, SHVR,5759.0,10.2,575.9, SNPR,942.0,10.3,94.2, ZIC,2577.0,10.4,257.7, ZIP,6088.0,10.5,608.8,0,256,0.4
634,300.0,169.0,174.0, GVWY,3974.0,10.0,397.4, PRDE,2996.0,10.1,299.6, SHVR,2178.0,10.2,217.8, SNPR,1686.0,10.3,168.6, ZIC,3908.0,10.4,390.8, ZIP,8843.0,10.5,884.3,0,256,0.6
462,300.0,186.0,197.0, GVWY,2001.0,10.0,200.1, PRDE,1726.0,10.1,172.6, SHVR,6679.0,10.2,667.9, SNPR,1843.0,10.3,184.3, ZIC,2953.0,10.4,295.3, ZIP,8064.0,10.5,806.4,0,256,0.8
385,300.0,171.0,198.0, GVWY,6260.0,10.0,626.0, PRDE,2727.0,10.1,272.7, SHVR,5882.0,10.2,588.2, SNPR,1903.0,10.3,190.3, ZIC,3528.0,10.4,352.8, ZIP,3963.0,10.5,396.3,0,256,1.1
175,300.0,162.0,204.0, GVWY,6611.0,10.0,661.1, PRDE,3634.0,10.1,363.4, SHVR,5341.0,10.2,534.1, SNPR,1655.0,10.3,165.5, ZIC,2908.0,10.4,290.8, ZIP,7525.0,10.5,752.5,0,256,1.3
711,300.0,180.0,192.0, GVWY,4391.0,10.0,439.1, PRDE,3316.0,10.1,331.6, SHVR,8891.0,10.2,889.1, SNPR,1329.0,10.3,132.9, ZIC,4641.0,10.4,464.1, ZIP,1359.0,10.5,135.9,0,256,1.5
501,300.0,177.0,196.0, GVWY,8987.0,10.0,898.7, PRDE,3663.0,10.1,366.3, SHVR,3546.0,10.2,354.6, SNPR,928.0,10.3,92.8, ZIC,3643.0,10.4,364.3, ZIP,7093.0,10.5,709.3,0,256,1.7
26,300.0,182.0,184.0, GVWY,7708.0,10.0,770.8, PRDE,3023.0,10.1,302.3, SHVR,5820.0,10.2,582.0, SNPR,721.0,10.3,72.1, ZIC,1437.0,10.4,143.7, ZIP,8861.0,10.5,886.1,0,256,2.0
427,300.0,174.0,175.0, GVWY,7626.0,10.0,762.6, PRDE,4519.0,10.1,451.9, SHVR,7351.0,10.2,735.1, SNPR,415.0,10.3,41.5, ZIC,4584.0,10.4,458.4, ZIP,7666.0,10.5,766.6,0,512,0.0
401,300.0,174.0,176.0, GVWY,2067.0,10.0,206.7, PRDE,319.0,10.1,31.9, SHVR,8779.0,10.2,877.9, SNPR,1976.0,10.3,197.6, ZIC,4956.0,10.4,495.6, ZIP,8401.0,10.5,840.1,0,512,0.2
646,300.0,173.0,174.0, GVWY,7296.0,10.0,729.6, PRDE,5224.0,10.1,522.4, SHVR,4609.0,10.2,460.9, SNPR,1710.0,10.3,171.0, ZIC,2996.0,10.4,299.6, ZIP,2435.0,10.5,243.5,0,512,0.4
761,300.0,171.0,185.0, GVWY,5277.0,10.0,527.7, PRDE,4356.0,10.1,435.6, SHVR,5930.0,10.2,593.0, SNPR,1221.0,10.3,122.1, ZIC,3018.0,10.4,301.8, ZIP,6113.0,10.5,611.3,0,512,0.6
677,300.0,174.0,202.0, GVWY,7218.0,10.0,721.8, PRDE,2625.0,10.1,262.5, SHVR,5423.0,10.2,542.3, SNPR,2767.0,10.3,276.7, ZIC,2401.0,10.4,240.1, ZIP,2355.0,10.5,235.5,0,512,0.8
71,300.0,173.0,181.0, GVWY,8927.0,10.0,892.7, PRDE,1379.0,10.1,137.9, SHVR,7099.0,10.2,709.9, SNPR,1074.0,10.3,107.4, ZIC,3908.0,10.4,390.8, ZIP,5599.0,10.5,559.9,0,512,1.1
824,300.0,181.0,183.0, GVWY,7455.0,10.0,745.5, PRDE,1680.0,10.1,168.0, SHVR,10991.0,10.2,1099.1, SNPR,1169.0,10.3,116.9, ZIC,3050.0,10.4,305.0, ZIP,3652.0,10.5,365.2,0,512,1.3
806,300.0,183.0,184.0, GVWY,2244.0,10.0,224.4, PRDE,1709.0,10.1,170.9, SHVR,6330.0,10.2,633.0, SNPR,1205.0,10.3,120.5, ZIC,7573.0,10.4,757.3, ZIP,7324.0,10.5,732.4,0,512,1.5
279,300.0,168.0,192.0, GVWY,8788.0,10.0,878.8, PRDE,2308.0,10.1,230.8, SHVR,7187.0,10.2,718.7, SNPR,2316.0,10.3,231.6, ZIC,5585.0,10.4,558.5, ZIP,1756.0,10.5,175.6,0,512,1.7
