,avg_profit1,run_n,k,F
527,539.7,5,32,1.1
878,90.7,5,32,1.3
259,551.2,5,32,1.5
457,298.1,5,32,1.7
840,130.9,5,32,2.0
102,260.6,5,64,0.0
863,419.6,5,64,0.2
631,495.7,5,64,0.4
597,229.3,5,64,0.6
419,272.1,5,64,0.8
821,370.0,5,64,1.1
462,306.9,5,64,1.3
309,211.8,5,64,1.5
745,267.4,5,64,1.7
321,572.2,5,64,2.0
332,772.8,5,128,0.0
235,259.6,5,128,0.2
834,269.0,5,128,0.4
843,556.3,5,128,0.6
320,516.2,5,128,0.8
356,268.9,5,128,1.1
221,312.5,5,128,1.3
127,147.7,5,128,1.5
683,371.6,5,128,1.7
896,192.9,5,128,2.0
240,255.4,5,256,0.0
447,509.8,5,256,0.2
811,933.7,5,256,0.4
882,178.6,5,256,0.6
114,335.4,5,256,0.8
558,287.2,5,256,1.1
773,233.1,5,256,1.3
312,373.1,5,256,1.5
695,537.9,5,256,1.7
410,376.2,5,256,2.0
385,316.5,5,512,0.0
293,204.2,5,512,0.2
305,559.0,5,512,0.4
226,415.6,5,512,0.6
727,527.4,5,512,0.8
420,245.3,5,512,1.1
490,660.8,5,512,1.3
287,368.0,5,512,1.5
442,85.2,5,512,1.7
288,281.0,5,512,2.0
866,274.9,5,1024,0.0
650,457.0,5,1024,0.2
549,636.9,5,1024,0.4
184,267.2,5,1024,0.6
417,684.7,5,1024,0.8
625,444.6,5,1024,1.1
310,274.0,5,1024,1.3
298,491.1,5,1024,1.5
682,584.0,5,1024,1.7
281,589.2,5,1024,2.0
474,67.6,6,4,0.0
193,327.4,6,4,0.2
436,375.8,6,4,0.4
19,232.9,6,4,0.6
306,582.6,6,4,0.8
611,419.1,6,4,1.1
559,344.2,6,4,1.3
505,135.6,6,4,1.5
526,371.6,6,4,1.7
633,510.4,6,4,2.0
27,237.1,6,8,0.0
81,344.5,6,8,0.2
330,470.1,6,8,0.4
154,541.4,6,8,0.6
652,114.4,6,8,0.8
472,235.4,6,8,1.1
351,162.3,6,8,1.3
5,254.3,6,8,1.5
429,278.7,6,8,1.7
411,185.2,6,8,2.0
822,78.8,6,16,0.0
535,298.3,6,16,0.2
