,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
894,300.0,134.0,164.0, GVWY,4316.0,10.0,431.6, PRDE,5067.0,10.1,506.7, SHVR,6239.0,10.2,623.9, SNPR,2137.0,10.3,213.7, ZIC,3087.0,10.4,308.7, ZIP,4240.0,10.5,424.0,0,256,1.5
239,300.0,145.0,147.0, GVWY,4181.0,10.0,418.1, PRDE,4632.0,10.1,463.2, SHVR,5201.0,10.2,520.1, SNPR,1665.0,10.3,166.5, ZIC,2524.0,10.4,252.4, ZIP,8602.0,10.5,860.2,0,256,1.7
152,300.0,150.0,153.0, GVWY,5265.0,10.0,526.5, PRDE,2295.0,10.1,229.5, SHVR,10072.0,10.2,1007.2, SNPR,976.0,10.3,97.6, ZIC,3698.0,10.4,369.8, ZIP,6573.0,10.5,657.3,0,256,2.0
578,300.0,142.0,162.0, GVWY,8199.0,10.0,819.9, PRDE,1801.0,10.1,180.1, SHVR,7155.0,10.2,715.5, SNPR,1301.0,10.3,130.1, ZIC,3148.0,10.4,314.8, ZIP,6703.0,10.5,670.3,0,512,0.0
501,300.0,144.0,154.0, GVWY,9909.0,10.0,990.9, PRDE,2384.0,10.1,238.4, SHVR,8439.0,10.2,843.9, SNPR,1099.0,10.3,109.9, ZIC,1058.0,10.4,105.8, ZIP,6197.0,10.5,619.7,0,512,0.2
71,300.0,151.0,165.0, GVWY,5095.0,10.0,509.5, PRDE,5822.0,10.1,582.2, SHVR,7472.0,10.2,747.2, SNPR,1382.0,10.3,138.2, ZIC,6268.0,10.4,626.8, ZIP,3923.0,10.5,392.3,0,512,0.4
54,300.0,147.0,158.0, GVWY,8892.0,10.0,889.2, PRDE,5612.0,10.1,561.2, SHVR,6000.0,10.2,600.0, SNPR,1429.0,10.3,142.9, ZIC,3152.0,10.4,315.2, ZIP,2987.0,10.5,298.7,0,512,0.6
159,300.0,143.0,155.0, GVWY,6748.0,10.0,674.8, PRDE,1107.0,10.1,110.7, SHVR,6852.0,10.2,685.2, SNPR,1843.0,10.3,184.3, ZIC,4412.0,10.4,441.2, ZIP,3395.0,10.5,339.5,0,512,0.8
125,300.0,147.0,150.0, GVWY,9905.0,10.0,990.5, PRDE,1733.0,10.1,173.3, SHVR,7501.0,10.2,750.1, SNPR,225.0,10.3,22.5, ZIC,3675.0,10.4,367.5, ZIP,10069.0,10.5,1006.9,0,512,1.1
704,300.0,146.0,168.0, GVWY,9293.0,10.0,929.3, PRDE,2325.0,10.1,232.5, SHVR,6707.0,10.2,670.7, SNPR,1073.0,10.3,107.3, ZIC,3148.0,10.4,314.8, ZIP,6497.0,10.5,649.7,0,512,1.3
449,300.0,152.0,158.0, GVWY,2955.0,10.0,295.5, PRDE,2636.0,10.1,263.6, SHVR,7195.0,10.2,719.5, SNPR,2031.0,10.3,203.1, ZIC,2116.0,10.4,211.6, ZIP,11124.0,10.5,1112.4,0,512,1.5
124,300.0,144.0,152.0, GVWY,6640.0,10.0,664.0, PRDE,4305.0,10.1,430.5, SHVR,8489.0,10.2,848.9, SNPR,376.0,10.3,37.6, ZIC,3700.0,10.4,370.0, ZIP,6867.0,10.5,686.7,0,512,1.7
304,300.0,148.0,153.0, GVWY,11366.0,10.0,1136.6, PRDE,3940.0,10.1,394.0, SHVR,4634.0,10.2,463.4, SNPR,635.0,10.3,63.5, ZIC,3208.0,10.4,320.8, ZIP,7442.0,10.5,744.2,0,512,2.0
96,300.0,136.0,158.0, GVWY,11268.0,10.0,1126.8, PRDE,1570.0,10.1,157.0, SHVR,5860.0,10.2,586.0, SNPR,1083.0,10.3,108.3, ZIC,3985.0,10.4,398.5, ZIP,3771.0,10.5,377.1,0,1024,0.0
872,300.0,156.0,157.0, GVWY,9595.0,10.0,959.5, PRDE,2214.0,10.1,221.4, SHVR,7975.0,10.2,797.5, SNPR,928.0,10.3,92.8, ZIC,2032.0,10.4,203.2, ZIP,4741.0,10.5,474.1,0,1024,0.2
568,300.0,143.0,158.0, GVWY,6303.0,10.0,630.3, PRDE,3455.0,10.1,345.5, SHVR,8098.0,10.2,809.8, SNPR,792.0,10.3,79.2, ZIC,2887.0,10.4,288.7, ZIP,5954.0,10.5,595.4,0,1024,0.4
294,300.0,149.0,154.0, GVWY,3727.0,10.0,372.7, PRDE,440.0,10.1,44.0, SHVR,12369.0,10.2,1236.9, SNPR,1757.0,10.3,175.7, ZIC,3981.0,10.4,398.1, ZIP,2378.0,10.5,237.8,0,1024,0.6
422,300.0,143.0,159.0, GVWY,4176.0,10.0,417.6, PRDE,4944.0,10.1,494.4, SHVR,2960.0,10.2,296.0, SNPR,1416.0,10.3,141.6, ZIC,4536.0,10.4,453.6, ZIP,6579.0,10.5,657.9,0,1024,0.8
842,300.0,151.0,158.0, GVWY,3009.0,10.0,300.9, PRDE,7568.0,10.1,756.8, SHVR,4861.0,10.2,486.1, SNPR,1809.0,10.3,180.9, ZIC,4070.0,10.4,407.0, ZIP,6261.0,10.5,626.1,0,1024,1.1
166,300.0,144.0,162.0, GVWY,6850.0,10.0,685.0, PRDE,5030.0,10.1,503.0, SHVR,7801.0,10.2,780.1, SNPR,1533.0,10.3,153.3, ZIC,4173.0,10.4,417.3, ZIP,4085.0,10.5,408.5,0,1024,1.3
82,300.0,147.0,175.0, GVWY,6046.0,10.0,604.6, PRDE,5938.0,10.1,593.8, SHVR,8121.0,10.2,812.1, SNPR,1318.0,10.3,131.8, ZIC,1826.0,10.4,182.6, ZIP,6501.0,10.5,650.1,0,1024,1.5
515,300.0,148.0,156.0, GVWY,4474.0,10.0,447.4, PRDE,4672.0,10.1,467.2, SHVR,6426.0,10.2,642.6, SNPR,966.0,10.3,96.6, ZIC,1505.0,10.4,150.5, ZIP,12179.0,10.5,1217.9,0,1024,1.7
715,300.0,143.0,172.0, GVWY,10694.0,10.0,1069.4, PRDE,4818.0,10.1,481.8, SHVR,3112.0,10.2,311.2, SNPR,1374.0,10.3,137.4, ZIC,3510.0,10.4,351.0, ZIP,6791.0,10.5,679.1,0,1024,2.0
261,300.0,155.0,168.0, GVWY,4959.0,10.0,495.9, PRDE,5778.0,10.1,577.8, SHVR,1463.0,10.2,146.3, SNPR,1123.0,10.3,112.3, ZIC,6249.0,10.4,624.9, ZIP,5345.0,10.5,534.5,1,4,0.0
629,300.0,140.0,148.0, GVWY,11285.0,10.0,1128.5, PRDE,4744.0,10.1,474.4, SHVR,7930.0,10.2,793.0, SNPR,1011.0,10.3,101.1, ZIC,2839.0,10.4,283.9, ZIP,3424.0,10.5,342.4,1,4,0.2
524,300.0,141.0,158.0, GVWY,1864.0,10.0,186.4, PRDE,4079.0,10.1,407.9, SHVR,6716.0,10.2,671.6, SNPR,862.0,10.3,86.2, ZIC,2862.0,10.4,286.2, ZIP,9710.0,10.5,971.0,1,4,0.4
519,300.0,146.0,174.0, GVWY,8178.0,10.0,817.8, PRDE,2621.0,10.1,262.1, SHVR,9416.0,10.2,941.6, SNPR,1324.0,10.3,132.4, ZIC,2234.0,10.4,223.4, ZIP,3370.0,10.5,337.0,1,4,0.6
570,300.0,143.0,148.0, GVWY,1665.0,10.0,166.5, PRDE,5171.0,10.1,517.1, SHVR,4724.0,10.2,472.4, SNPR,2212.0,10.3,221.2, ZIC,2981.0,10.4,298.1, ZIP,4210.0,10.5,421.0,1,4,0.8
338,300.0,145.0,147.0, GVWY,12309.0,10.0,1230.9, PRDE,1612.0,10.1,161.2, SHVR,5674.0,10.2,567.4, SNPR,1894.0,10.3,189.4, ZIC,1624.0,10.4,162.4, ZIP,6556.0,10.5,655.6,1,4,1.1
605,300.0,144.0,180.0, GVWY,8688.0,10.0,868.8, PRDE,2017.0,10.1,201.7, SHVR,5456.0,10.2,545.6, SNPR,1559.0,10.3,155.9, ZIC,2555.0,10.4,255.5, ZIP,7558.0,10.5,755.8,1,4,1.3
697,300.0,136.0,146.0, GVWY,4633.0,10.0,463.3, PRDE,1818.0,10.1,181.8, SHVR,8946.0,10.2,894.6, SNPR,889.0,10.3,88.9, ZIC,5228.0,10.4,522.8, ZIP,7831.0,10.5,783.1,1,4,1.5
