,avg_profit1,run_n,k,F
281,336.4,6,64,1.5
277,589.7,6,64,1.7
560,376.0,6,64,2.0
615,192.5,6,128,0.0
805,21.5,6,128,0.2
642,557.3,6,128,0.4
85,107.0,6,128,0.6
119,629.5,6,128,0.8
890,322.6,6,128,1.1
519,833.2,6,128,1.3
823,397.9,6,128,1.5
670,229.4,6,128,1.7
629,440.7,6,128,2.0
726,134.6,6,256,0.0
544,294.0,6,256,0.2
766,303.6,6,256,0.4
127,300.2,6,256,0.6
341,569.6,6,256,0.8
244,361.7,6,256,1.1
345,415.5,6,256,1.3
841,222.0,6,256,1.5
33,659.8,6,256,1.7
155,290.6,6,256,2.0
131,294.2,6,512,0.0
484,292.9,6,512,0.2
601,428.6,6,512,0.4
76,478.6,6,512,0.6
202,253.0,6,512,0.8
353,348.1,6,512,1.1
266,171.0,6,512,1.3
468,523.3,6,512,1.5
499,67.1,6,512,1.7
695,378.4,6,512,2.0
681,355.5,6,1024,0.0
613,122.6,6,1024,0.2
185,122.5,6,1024,0.4
474,244.2,6,1024,0.6
325,348.1,6,1024,0.8
141,242.7,6,1024,1.1
558,403.5,6,1024,1.3
19,337.0,6,1024,1.5
589,317.6,6,1024,1.7
88,478.8,6,1024,2.0
791,949.1,7,4,0.0
420,460.6,7,4,0.2
228,653.7,7,4,0.4
515,405.4,7,4,0.6
483,243.4,7,4,0.8
614,313.1,7,4,1.1
476,325.0,7,4,1.3
274,256.8,7,4,1.5
10,139.5,7,4,1.7
186,283.7,7,4,2.0
205,308.6,7,8,0.0
552,663.6,7,8,0.2
286,244.7,7,8,0.4
490,97.4,7,8,0.6
78,106.9,7,8,0.8
122,642.9,7,8,1.1
529,263.9,7,8,1.3
77,305.9,7,8,1.5
556,62.8,7,8,1.7
756,32.9,7,8,2.0
425,337.6,7,16,0.0
103,385.5,7,16,0.2
67,521.9,7,16,0.4
504,24.1,7,16,0.6
254,318.3,7,16,0.8
447,354.6,7,16,1.1
758,80.1,7,16,1.3
383,293.9,7,16,1.5
188,258.5,7,16,1.7
900,417.2,7,16,2.0
723,67.0,7,32,0.0
83,324.2,7,32,0.2
464,284.3,7,32,0.4
199,574.4,7,32,0.6
25,387.2,7,32,0.8
301,198.3,7,32,1.1
431,281.1,7,32,1.3
31,394.3,7,32,1.5
240,626.6,7,32,1.7
159,303.8,7,32,2.0
75,153.0,7,64,0.0
403,588.8,7,64,0.2
252,226.0,7,64,0.4
656,336.4,7,64,0.6
319,466.2,7,64,0.8
38,328.9,7,64,1.1
596,379.8,7,64,1.3
555,133.0,7,64,1.5
322,396.1,7,64,1.7
839,374.4,7,64,2.0
746,487.6,7,128,0.0
145,241.2,7,128,0.2
588,352.3,7,128,0.4
891,631.9,7,128,0.6
725,404.0,7,128,0.8
139,140.7,7,128,1.1
869,116.9,7,128,1.3
192,590.7,7,128,1.5
90,551.8,7,128,1.7
545,309.6,7,128,2.0
434,585.6,7,256,0.0
206,231.1,7,256,0.2
40,147.8,7,256,0.4
418,268.4,7,256,0.6
561,360.8,7,256,0.8
702,179.7,7,256,1.1
180,483.9,7,256,1.3
710,376.2,7,256,1.5
730,331.7,7,256,1.7
235,250.9,7,256,2.0
511,31.8,7,512,0.0
110,24.6,7,512,0.2
783,229.5,7,512,0.4
446,251.3,7,512,0.6
757,367.2,7,512,0.8
8,304.3,7,512,1.1
182,63.3,7,512,1.3
50,479.3,7,512,1.5
203,356.3,7,512,1.7
441,769.4,7,512,2.0
339,402.4,7,1024,0.0
785,202.4,7,1024,0.2
259,542.0,7,1024,0.4
224,469.4,7,1024,0.6
729,73.5,7,1024,0.8
899,412.0,7,1024,1.1
495,238.3,7,1024,1.3
782,360.4,7,1024,1.5
708,333.5,7,1024,1.7
369,373.0,7,1024,2.0
855,133.5,8,4,0.0
811,96.9,8,4,0.2
716,162.4,8,4,0.4
842,673.4,8,4,0.6
849,450.6,8,4,0.8
422,134.4,8,4,1.1
866,517.9,8,4,1.3
769,111.2,8,4,1.5
158,372.9,8,4,1.7
894,288.4,8,4,2.0
692,352.6,8,8,0.0
594,288.9,8,8,0.2
70,135.7,8,8,0.4
364,773.6,8,8,0.6
232,417.5,8,8,0.8
55,423.6,8,8,1.1
346,208.0,8,8,1.3
314,267.2,8,8,1.5
691,314.5,8,8,1.7
685,228.7,8,8,2.0
780,621.0,8,16,0.0
531,288.2,8,16,0.2
565,276.5,8,16,0.4
146,270.5,8,16,0.6
832,385.1,8,16,0.8
163,374.0,8,16,1.1
500,336.3,8,16,1.3
84,139.0,8,16,1.5
748,404.4,8,16,1.7
440,429.2,8,16,2.0
86,419.0,8,32,0.0
777,285.5,8,32,0.2
898,305.5,8,32,0.4
763,544.5,8,32,0.6
73,383.9,8,32,0.8
336,598.1,8,32,1.1
724,471.8,8,32,1.3
135,624.7,8,32,1.5
781,219.6,8,32,1.7
348,69.1,8,32,2.0
17,536.0,8,64,0.0
360,580.8,8,64,0.2
802,491.2,8,64,0.4
23,61.4,8,64,0.6
879,217.8,8,64,0.8
370,286.0,8,64,1.1
107,384.1,8,64,1.3
860,301.9,8,64,1.5
830,518.8,8,64,1.7
234,234.4,8,64,2.0
778,280.2,8,128,0.0
897,435.9,8,128,0.2
227,454.6,8,128,0.4
413,368.0,8,128,0.6
527,229.3,8,128,0.8
352,293.5,8,128,1.1
106,192.1,8,128,1.3
767,508.2,8,128,1.5
229,252.8,8,128,1.7
263,561.7,8,128,2.0
241,271.4,8,256,0.0
814,126.1,8,256,0.2
415,263.4,8,256,0.4
212,135.9,8,256,0.6
105,234.6,8,256,0.8
595,46.8,8,256,1.1
120,203.0,8,256,1.3
466,143.7,8,256,1.5
271,523.3,8,256,1.7
287,464.9,8,256,2.0
657,307.6,8,512,0.0
770,248.2,8,512,0.2
665,354.5,8,512,0.4
810,345.6,8,512,0.6
845,376.4,8,512,0.8
293,363.7,8,512,1.1
153,656.9,8,512,1.3
566,736.7,8,512,1.5
528,408.5,8,512,1.7
184,452.6,8,512,2.0
396,493.1,8,1024,0.0
863,503.8,8,1024,0.2
302,479.7,8,1024,0.4
867,588.0,8,1024,0.6
709,551.4,8,1024,0.8
162,167.3,8,1024,1.1
597,346.3,8,1024,1.3
453,271.4,8,1024,1.5
790,20.1,8,1024,1.7
194,594.2,8,1024,2.0
480,144.0,9,4,0.0
628,478.8,9,4,0.2
177,624.4,9,4,0.4
144,425.6,9,4,0.6
392,637.6,9,4,0.8
189,322.6,9,4,1.1
444,352.2,9,4,1.3
762,244.2,9,4,1.5
129,209.9,9,4,1.7
718,137.3,9,4,2.0
485,217.6,9,8,0.0
847,315.9,9,8,0.2
671,203.3,9,8,0.4
517,67.7,9,8,0.6
169,200.3,9,8,0.8
216,72.7,9,8,1.1
316,207.0,9,8,1.3
311,391.2,9,8,1.5
121,400.1,9,8,1.7
838,274.6,9,8,2.0
760,109.6,9,16,0.0
167,388.4,9,16,0.2
818,240.0,9,16,0.4
347,116.7,9,16,0.6
317,388.7,9,16,0.8
678,378.7,9,16,1.1
569,240.6,9,16,1.3
195,69.3,9,16,1.5
217,286.7,9,16,1.7
150,457.1,9,16,2.0
508,301.8,9,32,0.0
6,267.0,9,32,0.2
800,56.7,9,32,0.4
436,107.0,9,32,0.6
213,306.7,9,32,0.8
283,701.4,9,32,1.1
817,117.9,9,32,1.3
157,150.6,9,32,1.5
834,423.4,9,32,1.7
285,431.5,9,32,2.0
366,289.2,9,64,0.0
288,561.1,9,64,0.2
124,278.8,9,64,0.4
467,396.9,9,64,0.6
893,328.7,9,64,0.8
65,425.2,9,64,1.1
848,697.1,9,64,1.3
751,265.7,9,64,1.5
165,228.5,9,64,1.7
491,800.7,9,64,2.0
586,424.4,9,128,0.0
332,243.8,9,128,0.2
701,222.4,9,128,0.4
666,560.5,9,128,0.6
298,306.7,9,128,0.8
775,175.1,9,128,1.1
547,536.1,9,128,1.3
166,632.1,9,128,1.5
45,158.3,9,128,1.7
143,136.4,9,128,2.0
269,337.4,9,256,0.0
776,194.4,9,256,0.2
753,429.9,9,256,0.4
387,400.0,9,256,0.6
771,435.8,9,256,0.8
530,372.4,9,256,1.1
225,472.6,9,256,1.3
551,395.6,9,256,1.5
700,345.4,9,256,1.7
201,409.0,9,256,2.0
1,393.8,9,512,0.0
118,197.3,9,512,0.2
745,466.4,9,512,0.4
267,354.5,9,512,0.6
390,130.9,9,512,0.8
152,408.2,9,512,1.1
621,760.1,9,512,1.3
459,641.8,9,512,1.5
712,450.6,9,512,1.7
51,238.1,9,512,2.0
